2024-09-25 00:14:01.273 CDT [9428] LOG:  checkpoint starting: time
2024-09-25 00:14:02.728 CDT [9428] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.411 s, sync=0.026 s, total=1.455 s; sync files=25, longest=0.003 s, average=0.002 s; distance=48 kB, estimate=235 kB; lsn=0/CC22640, redo lsn=0/CC22608
2024-09-25 00:24:01.729 CDT [9428] LOG:  checkpoint starting: time
2024-09-25 00:24:02.881 CDT [9428] LOG:  checkpoint complete: wrote 12 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.108 s, sync=0.026 s, total=1.153 s; sync files=25, longest=0.003 s, average=0.002 s; distance=62 kB, estimate=218 kB; lsn=0/CC320D8, redo lsn=0/CC320A0
2024-09-25 00:39:01.884 CDT [9428] LOG:  checkpoint starting: time
2024-09-25 00:39:04.141 CDT [9428] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.217 s, sync=0.025 s, total=2.258 s; sync files=25, longest=0.003 s, average=0.001 s; distance=125 kB, estimate=208 kB; lsn=0/CC514D8, redo lsn=0/CC514A0
2024-09-25 00:44:01.142 CDT [9428] LOG:  checkpoint starting: time
2024-09-25 00:44:02.588 CDT [9428] LOG:  checkpoint complete: wrote 15 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.410 s, sync=0.023 s, total=1.447 s; sync files=24, longest=0.003 s, average=0.001 s; distance=60 kB, estimate=194 kB; lsn=0/CC60878, redo lsn=0/CC60840
2024-09-25 00:59:01.591 CDT [9428] LOG:  checkpoint starting: time
2024-09-25 00:59:02.418 CDT [9428] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.809 s, sync=0.009 s, total=0.828 s; sync files=23, longest=0.001 s, average=0.001 s; distance=44 kB, estimate=179 kB; lsn=0/CC6BA48, redo lsn=0/CC6BA10
2024-09-25 01:09:01.420 CDT [9428] LOG:  checkpoint starting: time
2024-09-25 01:09:02.243 CDT [9428] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.807 s, sync=0.008 s, total=0.824 s; sync files=23, longest=0.001 s, average=0.001 s; distance=46 kB, estimate=165 kB; lsn=0/CC775B0, redo lsn=0/CC77578
2024-09-25 01:19:01.245 CDT [9428] LOG:  checkpoint starting: time
2024-09-25 01:19:02.078 CDT [9428] LOG:  checkpoint complete: wrote 9 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.809 s, sync=0.011 s, total=0.833 s; sync files=23, longest=0.001 s, average=0.001 s; distance=46 kB, estimate=153 kB; lsn=0/CC82F30, redo lsn=0/CC82EF8
